GROUP 1,GROUP 2,GROUP 3,GROUP 4,GROUP 5
GROUP 1,GROUP 2,GROUP 3,GROUP 4,GROUP 5
0xb2dd985116db690461fa28e03ba2a08a60af90a1 <-> 0xfe3766d4b8f8bf029d4fe4d355be152f9c67eb90 <-> 0xee525a275d1f54c22cccf1a3314f13c712d7f3a8 <-> 0xe356e7af80b8626a2b6ec11c32ad936c50a98a92 <-> 0xd2033db9c5370ac76abd80823b5c5adc097e2fbf <-> 0xca1e6cce755f9b276ebcf60532e91b1d6804486d <-> 0xfc40c02ad7ca76ac88c2dd771df729438b156c22 <-> 0xe4b8bd8cb10dbf3b152ae13cbf95ec8b869420e1 <-> 0xd4f20f43eef492a6cb117c698c0a1cbba42811e4 <-> 0xae4f582d6565acf294dd81c98099cc82bd710afd <-> 0xccbc524ebe1a9d7f0db3fbd10bc5c6e57768a28e <-> 0xd25891cfaf13c9ca8a102709261da2ffd0fb0a1f,0xecc87f729b14d8b4680624fa1202b6463b0a963d <-> 0xfab8b317625fc99a3989d894b1962f668101aec4 <-> 0xeea62f22f176c0bcc4d21e9a3bf773e9eb20b9f6 <-> 0xce97488ddfe8c92ccdd6c23191bc90c6e93a4718 <-> 0xacc9df058068c40e8d23978eb3dfad7edf8a2577 <-> 0xfd5cf3a11baf13f2cdb5b1de5cc77f5fc122820c <-> 0xe3444be2085f4b2c7ae1b50b0980ad6a4c257017 <-> 0xf84856531e2d89b438f7820630db02cdfb2ae69f <-> 0xe563bad50fcaef4767116d945e35b87ef5acc4f0 <-> 0xddf67766823a949f0d5ed88c944a098f93c51535 <-> 0xf6cee0b7d093d3e716461da80be035da8080d754 <-> 0xec63ec638787a00aac16de144f0d054a727ed530 <-> 0xb173db8f27360f545c551f22bc480a22d33cde22 <-> 0xb1f72d694711fce55c62ea97bd3739ff11cef986,0xb48978cbe537ddd29752b300ee9143131324d0ff <-> 0xf69ed76632f8a3961cb03960a85ec37c8d5aabb6 <-> 0xffd708c4aca6d0d4335836b2ca51576069418d3d <-> 0xbfb4a11a2247a013b50eaf5d68d5db1cc752c4a9 <-> 0xe23e1d8e9373a79ec4ae0262e77d52c21830ab11 <-> 0xab1580ee6c593d1ae69c8e80592160bcdb9f6c97 <-> 0xaf2947beb7bfd50f5ea168d22c6d143796d3b209 <-> 0xc7cc21158fda7b48a53a1f24f4c5c5b85654b447 <-> 0xb8a6be8996bdffadb12665498b0315e03746550f <-> 0xd3f81e3e5bae2d61949efd4c2550edf6d1a02186,0xbeb4d273c61cae9fb0d39ebd3cd6703d09292530 <-> 0xbb777059731726fb990fac2687fa6c1f2924d4cd <-> 0xda3605d79bc9e6ddef9bc8166c922cf7fd7c01a0 <-> 0xda8639ebade510607414fe396e98171280ee86f1 <-> 0xe3b8681778882bdd121b51eada0de2b9088398df <-> 0xceed5de12428369816cd22d1ba71463fc4c4c73e <-> 0xd4d07a4f93d20158f60bc1e915fd433a9dc4b7cf <-> 0xe85a5b0ef8e4690fef2b73cf94f9576a1c092c87 <-> 0xdcf411429b7c41c49409ddb14d87267ebdf74289 <-> 0xd3ea2b7f180b341aa5736a676de9abb21d399044,0xb4a2b428f5f46772abc83b553e4ed7bc6e096378 <-> 0xd471a840ec81be3ce5e1325413581a1eaf5dcc11 <-> 0xac8efff8b4ecef9f6704c38425d96a7048d938ed <-> 0xe4deac4c2b075ee64814483d9038daaf83542f71 <-> 0xc52d24a78207b8c380d9b0ac2e5ec699dad04241 <-> 0xe66e4b4f43b6c7e7df71c0e325ad6797f3e66b3f <-> 0xc1563d51c3cdae5bbbff9bc8f1c37a1ea50950fc <-> 0xd53b399bf34305d1cd665c2b092d787c8a5e45b7 <-> 0xc5c23df5e5d70aa181e7a00733eea041b9623903 <-> 0xbfc4ee67d03dd3450e9e53137b8db0a347cd086a <-> 0xb302560a220d1adcc69c5f8d19279f572555b01b <-> 0xb606fdf543b3397bd0e6559b693ae8d60da4a46a <-> 0xdbabf33f0d2464c9ac403acb67ef0e3340a0c031 <-> 0xd4a7385d50fa958d66d0df590e3204211a6027e0 <-> 0xb4da408106a7545130e64c559ecb65fdce8c21ef <-> 0xc5cf8fdd07c1eeab8a193b5145aa403ec084b71a <-> 0xb4a3ac905164bf9e8dff4b6f04b1eab55814642a <-> 0xd67d2f08cbc0e3b4cd6db121b5e0c0e5425268a2 <-> 0xc54c577729bb114c7838fb839a74321c9d04efd1 <-> 0xac8e9cbcd6120f2a09eaa3a73d7e140995337346 <-> 0xb2ed6de66f527a88fee596a5f7ddcc30c5031571 <-> 0xe7481ee7af22f443303572cccf28a4a73a21bbe7 <-> 0xe96d806c830bb3f108eb51479a66edb31a3c1ab4 <-> 0xd357a7e5c94f46dfbc3c05033b1ff97926a4e4dc <-> 0xb35a83bda02c2cb5af44a8afc79431f9c11e505c <-> 0xbae00268df54cbd6e689de1ea3b2aafa52dd19a9 <-> 0xfa8118fec97722451e36e84be84c37dd960a1ef2 <-> 0xb8aa2942f7285a9f3e69acb11311f8d849c0d05c <-> 0xeb0ad1099f5e12968d41c04f8a22e6dbb0f65702 <-> 0xc68f835106b588ad7946729d7ab2712c0cd2ffed
"hash: ""0xc1932c73d2e01cc7025d63dda971d01b132d3153c56afdeea57cf239b49c3d24"" from: ""0xfc40c02ad7ca76ac88c2dd771df729438b156c22"" to: ""0xd2033db9c5370ac76abd80823b5c5adc097e2fbf"" tokenSymbol: ""ETH"" value: ""0.08273229""","hash: ""0x184bfbf81dc65167270ee13df9915f01fdc3363489977b7622df9f3d90e1bf70"" from: ""0xe563bad50fcaef4767116d945e35b87ef5acc4f0"" to: ""0xb173db8f27360f545c551f22bc480a22d33cde22"" tokenSymbol: ""ETH"" value: ""0.01""","hash: ""0xa17af38a9bac3ff50db64f612f546a493c26bd4a3a46a5824bf3faaf3b31552a"" from: ""0xab1580ee6c593d1ae69c8e80592160bcdb9f6c97"" to: ""0xc7cc21158fda7b48a53a1f24f4c5c5b85654b447"" tokenSymbol: ""ETH"" value: ""0.01""","hash: ""0xfba6922423754b5f5ef302191a0b58f2e628ff877e1cd8c7f3b5eb9e5bb9e10c"" from: ""0xda3605d79bc9e6ddef9bc8166c922cf7fd7c01a0"" to: ""0xbeb4d273c61cae9fb0d39ebd3cd6703d09292530"" tokenSymbol: ""ETH"" value: ""0.002""","hash: ""0x3c3c7b1a26fa044c990c2ddf88213d36a6aef8abe8316023e74e9e5c0bc614f6"" from: ""0xfa8118fec97722451e36e84be84c37dd960a1ef2"" to: ""0xb302560a220d1adcc69c5f8d19279f572555b01b"" tokenSymbol: ""ETH"" value: ""0.005"""
"hash: ""0x1eea9a153a4a421dc374139b976ac9af620ebe61a10ffdfba332e35e79d71233"" from: ""0xae4f582d6565acf294dd81c98099cc82bd710afd"" to: ""0xfc40c02ad7ca76ac88c2dd771df729438b156c22"" tokenSymbol: ""ETH"" value: ""0.0003""","hash: ""0xcf4e004ec25a15b901e9b9eba0518020229f101eef3641813d3f01d9a8012b3b"" from: ""0xecc87f729b14d8b4680624fa1202b6463b0a963d"" to: ""0xfd5cf3a11baf13f2cdb5b1de5cc77f5fc122820c"" tokenSymbol: ""ETH"" value: ""0.0077""","hash: ""0x612fd63cf31547be2a866a11f20ed2e822ffca6945a15bdc5f5759078168d404"" from: ""0xab1580ee6c593d1ae69c8e80592160bcdb9f6c97"" to: ""0xffd708c4aca6d0d4335836b2ca51576069418d3d"" tokenSymbol: ""ETH"" value: ""0.01""","hash: ""0xaf9bab66635398560b7a15fb573c6363d6d682c9ec431bc03d5fb54f2953c426"" from: ""0xceed5de12428369816cd22d1ba71463fc4c4c73e"" to: ""0xbeb4d273c61cae9fb0d39ebd3cd6703d09292530"" tokenSymbol: ""ETH"" value: ""0.01""","hash: ""0xc3d91461a34981b65775fe4100d0986d47d0bd715bcf3b4e3b2c7d22768a84fc"" from: ""0xb4a3ac905164bf9e8dff4b6f04b1eab55814642a"" to: ""0xb302560a220d1adcc69c5f8d19279f572555b01b"" tokenSymbol: ""ETH"" value: ""0.005"""
"hash: ""0x8f49342ef7128653c5b141f40af1749c14fa598f0cad32d424e9eaf5c80dae91"" from: ""0xfe3766d4b8f8bf029d4fe4d355be152f9c67eb90"" to: ""0xe4b8bd8cb10dbf3b152ae13cbf95ec8b869420e1"" tokenSymbol: ""ETH"" value: ""0.06553476""","hash: ""0xc82d3fb947e1ed2934e7fb7e60e339c2cac53aeecdb1f12b902134a21f928982"" from: ""0xecc87f729b14d8b4680624fa1202b6463b0a963d"" to: ""0xfd5cf3a11baf13f2cdb5b1de5cc77f5fc122820c"" tokenSymbol: ""ETH"" value: ""0.001""","hash: ""0x7266981dfe2db1acd2e9bfa437f18b0e690f1f63b3021f1303011c4807ae0146"" from: ""0xab1580ee6c593d1ae69c8e80592160bcdb9f6c97"" to: ""0xf69ed76632f8a3961cb03960a85ec37c8d5aabb6"" tokenSymbol: ""ETH"" value: ""0.01""","hash: ""0xc22d99b9bb115df30e952f4a70ea4dfb7d0d98d43c4940b0b66b48a8f6459a6a"" from: ""0xbeb4d273c61cae9fb0d39ebd3cd6703d09292530"" to: ""0xd4d07a4f93d20158f60bc1e915fd433a9dc4b7cf"" tokenSymbol: ""ETH"" value: ""0.082""","hash: ""0x54dc576e37973b7aebb9eb1142307251e45bafaf02268921ff9892e40a9deeb3"" from: ""0xb4a3ac905164bf9e8dff4b6f04b1eab55814642a"" to: ""0xd4a7385d50fa958d66d0df590e3204211a6027e0"" tokenSymbol: ""ETH"" value: ""0.005"""
"hash: ""0x0444fe423c236402a2f38935243c0fc8bae793ec51963280f2f9891973ebe4c1"" from: ""0xfe3766d4b8f8bf029d4fe4d355be152f9c67eb90"" to: ""0xca1e6cce755f9b276ebcf60532e91b1d6804486d"" tokenSymbol: ""ETH"" value: ""0.0005""","hash: ""0x2867f65b11928c1002259e9888fd441df7ac4f512b1b854ca438d3aea9005b0c"" from: ""0xb1f72d694711fce55c62ea97bd3739ff11cef986"" to: ""0xfd5cf3a11baf13f2cdb5b1de5cc77f5fc122820c"" tokenSymbol: ""ETH"" value: ""0.01""","hash: ""0x71c42320ea09a174185654bd386558d862d9fb20d2cf95de6d0981d3d43a2600"" from: ""0xab1580ee6c593d1ae69c8e80592160bcdb9f6c97"" to: ""0xd3f81e3e5bae2d61949efd4c2550edf6d1a02186"" tokenSymbol: ""ETH"" value: ""0.01""","hash: ""0x2e92bebd0fa31070c9e9ab86b1b21523ebd07fc3ac6b1a2a2e926c0391851917"" from: ""0xda3605d79bc9e6ddef9bc8166c922cf7fd7c01a0"" to: ""0xbeb4d273c61cae9fb0d39ebd3cd6703d09292530"" tokenSymbol: ""ETH"" value: ""0.005""","hash: ""0x43d3878b734c38c71d69c75ef067f75d638d0fc62953e03c54d58e3c878ae7e6"" from: ""0xb4a3ac905164bf9e8dff4b6f04b1eab55814642a"" to: ""0xc5cf8fdd07c1eeab8a193b5145aa403ec084b71a"" tokenSymbol: ""ETH"" value: ""0.005"""
"hash: ""0xa5182821b8072c26d8fd00d6b85a5fecfcf4039c49d1058f26e1106669c4e170"" from: ""0xd2033db9c5370ac76abd80823b5c5adc097e2fbf"" to: ""0xe4b8bd8cb10dbf3b152ae13cbf95ec8b869420e1"" tokenSymbol: ""ETH"" value: ""0.00084699""","hash: ""0xa36bbf0c6c8d42c3287d319ac8c75439b97f7c2ad356792f4401563b8d550d39"" from: ""0xe563bad50fcaef4767116d945e35b87ef5acc4f0"" to: ""0xec63ec638787a00aac16de144f0d054a727ed530"" tokenSymbol: ""ETH"" value: ""0.01""","hash: ""0xce21ae67c9f0542aa9734d66340d7ba3b877d1d8d7fa8511681c87459fd964d4"" from: ""0xab1580ee6c593d1ae69c8e80592160bcdb9f6c97"" to: ""0xb48978cbe537ddd29752b300ee9143131324d0ff"" tokenSymbol: ""ETH"" value: ""0.01""","hash: ""0xec35a04434f7d5c7fcc32a6f3357cb5b4a704a9cffde9ab4584b3fef4bd131a0"" from: ""0xda3605d79bc9e6ddef9bc8166c922cf7fd7c01a0"" to: ""0xbeb4d273c61cae9fb0d39ebd3cd6703d09292530"" tokenSymbol: ""ETH"" value: ""0.005""","hash: ""0xacaa39def8b6d40ac6f745b9c3096ef9381598bbeba7107ecee5bc17568c93cf"" from: ""0xb4a3ac905164bf9e8dff4b6f04b1eab55814642a"" to: ""0xb8aa2942f7285a9f3e69acb11311f8d849c0d05c"" tokenSymbol: ""ETH"" value: ""0.1"""
"hash: ""0x2dd977545daeb6f258e29c1e09e768badd7b0e659865b3209d7128969def03aa"" from: ""0xae4f582d6565acf294dd81c98099cc82bd710afd"" to: ""0xd2033db9c5370ac76abd80823b5c5adc097e2fbf"" tokenSymbol: ""ETH"" value: ""0.07280616""","hash: ""0x32e40e11c30d3e6dab37331ee92a7927b885e5a79d2dec1495b81e22c4cd02bd"" from: ""0xacc9df058068c40e8d23978eb3dfad7edf8a2577"" to: ""0xec63ec638787a00aac16de144f0d054a727ed530"" tokenSymbol: ""ETH"" value: ""0.005""","hash: ""0xd18df19f273d5beab7dbc01c44d5b6ec9714f69e52e4980d0df4b7eff16fc587"" from: ""0xab1580ee6c593d1ae69c8e80592160bcdb9f6c97"" to: ""0xe23e1d8e9373a79ec4ae0262e77d52c21830ab11"" tokenSymbol: ""ETH"" value: ""0.01""","hash: ""0x07d56744bedbbe007bf5ce97d4fb6b59c85409b034add411627ddcf0d75db134"" from: ""0xbb777059731726fb990fac2687fa6c1f2924d4cd"" to: ""0xda8639ebade510607414fe396e98171280ee86f1"" tokenSymbol: ""ETH"" value: ""0.01""","hash: ""0x3edfabbeae9dd5a568716f190dbd572ccb7bbe6bcf54b480d660c7ed44283913"" from: ""0xb8aa2942f7285a9f3e69acb11311f8d849c0d05c"" to: ""0xb4a3ac905164bf9e8dff4b6f04b1eab55814642a"" tokenSymbol: ""ETH"" value: ""0.1"""
"hash: ""0x453c8e2e8ec00c4b098c45763fe7b032bb2f139268c5634bb62ee31680f3ead5"" from: ""0xd2033db9c5370ac76abd80823b5c5adc097e2fbf"" to: ""0xd25891cfaf13c9ca8a102709261da2ffd0fb0a1f"" tokenSymbol: ""ETH"" value: ""0.0089""","hash: ""0xf4e6497af4f794fcb9fc6e55718a10e9cb54b414cf8c5193e62989b3591f4775"" from: ""0xacc9df058068c40e8d23978eb3dfad7edf8a2577"" to: ""0xfab8b317625fc99a3989d894b1962f668101aec4"" tokenSymbol: ""ETH"" value: ""0.001""","hash: ""0xa3e9fb326b6276f9b26e4d24be9046b4d52aa212652c6e3eded8434017a35e24"" from: ""0xab1580ee6c593d1ae69c8e80592160bcdb9f6c97"" to: ""0xaf2947beb7bfd50f5ea168d22c6d143796d3b209"" tokenSymbol: ""ETH"" value: ""0.01""","hash: ""0x158ba727656a0598f95f14cbbe3ce77857c606b43121f700bc2aa508237e0fde"" from: ""0xda8639ebade510607414fe396e98171280ee86f1"" to: ""0xbb777059731726fb990fac2687fa6c1f2924d4cd"" tokenSymbol: ""ETH"" value: ""0.01""","hash: ""0x49c7415943c4b00b64d2deeb5ab4cef528365ff138ed4569c6215507a46f553c"" from: ""0xb4a3ac905164bf9e8dff4b6f04b1eab55814642a"" to: ""0xdbabf33f0d2464c9ac403acb67ef0e3340a0c031"" tokenSymbol: ""ETH"" value: ""0.005"""
